Pollster	Start	End	Pop.	Clinton	Sanders	Biden	Chafee	Lessig	O.Malley	Webb	Undecided
PublicReligionResearchInstitute	12/2	12/6/15	463RV	52	31	-	-	-	4	-	13
Suffolk/USAToday	12/2	12/6/15	363LV	56	29	-	-	-	4	-	11
IBD/TIPP	11/30	12/4/15	392RV	51	33	-	-	-	1	-	8
Ipsos/Reuters	11/28	12/2/15	430A	51	36	-	-	-	4	-	10
CNN	11/27	12/1/15	403RV	58	30	-	-	-	2	-	3
Quinnipiac	11/23	11/30/15	573RV	60	30	-	-	-	2	-	7
Ipsos/Reuters	11/21	11/25/15	362A	58	30	-	-	-	6	-	8
GravisMarketing/OneAmericaNews	11/23	11/23/15	528LV	59	32	-	-	-	8	-	-
YouGov/Economist	11/19	11/23/15	764LV	54	34	-	-	-	4	-	5
ABC/Post	11/16	11/19/15	352RV	60	34	-	-	-	3	-	2
FOX	11/16	11/19/15	366LV	55	32	-	-	-	3	-	5
Ipsos/Reuters	11/14	11/18/15	1,275A	52	31	-	-	-	4	-	13
PPP(D)	11/16	11/17/15	538LV	59	26	-	-	-	7	-	8
Bloomberg/Selzer	11/15	11/17/15	385RV	55	30	-	-	-	3	-	8
NBC/SurveyMonkey	11/15	11/17/15	1,983RV	49	33	-	-	-	1	-	11
MorningConsult	11/13	11/16/15	874RV	57	26	-	-	-	2	-	9
Ipsos/Reuters	11/7	11/11/15	609A	51	35	-	-	-	3	-	10
PublicReligionResearchInstitute	11/6	11/10/15	145LV	62	29	-	-	-	2	-	5
CBS/Times	11/6	11/10/15	418LV	52	33	-	-	-	5	-	-
