Pollster	Start	End	Pop.	Trump	Cruz	Rubio	Kasich	Bush	Carson	Christie	Fiorina	Gilmore	Graham	Huckabee	Jindal	Pataki	Perry	Rand.Paul	Santorum	Walker	Undecided
MonmouthUniversity	1/15	1/18	385RV	36	17	11	3	5	8	3	1	0	-	3	-	-	-	2	1	-	10
MorningConsult	1/14	1/17	1,635RV	39	13	9	2	7	8	3	2	-	-	3	-	-	-	3	1	-	9
NBC/SurveyMonkey	1/11	1/17	3,342RV	38	21	11	2	4	8	3	3	0	-	2	-	-	-	3	0	-	5
Ipsos/Reuters	1/9	1/13	575A	38	14	6	2	10	11	4	3	0	-	3	-	-	-	3	1	-	5
NBC/WSJ	1/9	1/13	400LV	33	20	13	3	5	12	5	3	-	-	1	-	-	-	3	-	-	2
YouGov/Economist	1/9	1/11	552LV	36	20	11	3	5	6	4	3	0	-	3	-	-	-	3	2	-	3
GravisMarketing/OneAmericaNews	1/10	1/10	832LV	41	20	11	4	6	5	3	4	-	-	2	-	-	-	2	0	-	-
MorningConsult	1/8	1/10	878RV	42	10	9	2	5	12	4	1	-	-	2	-	-	-	3	1	-	8
CBS/Times	1/7	1/10	442LV	36	19	12	2	6	6	3	3	-	-	4	-	-	-	1	0	-	7
NBC/SurveyMonkey	1/4	1/10	2,852RV	38	20	11	2	3	9	3	2	0	-	2	-	-	-	3	0	-	5
IBD/TIPP	1/4	1/8	389RV	34	18	9	2	4	8	4	2	-	-	1	-	-	-	3	-	-	11
FOX	1/4	1/7	423LV	35	20	13	2	4	10	2	3	0	-	1	-	-	-	2	0	-	6
Ipsos/Reuters	1/2	1/6	634A	41	15	8	1	8	11	3	1	0	-	2	-	-	-	3	1	-	5
YouGov/Economist	12/31/15	1/6/16	469LV	36	19	13	4	4	6	4	3	0	-	2	-	-	-	5	1	-	2
NBC/SurveyMonkey	12/28/15	1/3/16	949RV	35	18	13	2	6	9	4	3	0	-	2	-	-	-	2	1	-	5
Ipsos/Reuters	12/26	12/30/15	722A	39	14	12	1	6	12	2	1	0	-	2	-	0	-	3	1	-	6
Ipsos/Reuters	12/19	12/23/15	626A	39	13	9	2	7	10	3	2	0	-	3	-	0	-	2	3	-	6
YouGov/Economist	12/18	12/21/15	473LV	35	19	14	3	5	7	3	3	0	-	1	-	0	-	6	1	-	2
CNN	12/17	12/21/15	438RV	39	18	10	2	3	10	5	1	0	1	2	-	0	-	4	0	-	2
EmersonCollegePollingSociety	12/17	12/20/15	415LV	36	21	13	3	6	7	6	5	-	0	1	-	-	-	1	-	-	1
Quinnipiac	12/16	12/20/15	508RV	28	24	12	1	4	10	6	2	0	0	1	-	0	-	2	1	-	8
FOX	12/16	12/17/15	402LV	39	18	11	2	3	9	3	3	0	0	1	-	0	-	3	1	-	6
MorningConsult	12/16	12/17/15	861RV	36	11	9	-	7	12	2	2	-	-	-	-	-	-	3	-	-	11
PPP(D)	12/16	12/17/15	532LV	34	18	13	2	7	6	5	4	0	1	4	-	0	-	2	1	-	2
Ipsos/Reuters	12/12	12/16/15	730A	36	14	10	2	7	11	3	3	0	1	5	-	0	-	3	0	-	6
MorningConsult	12/11	12/15/15	1,530RV	40	9	7	2	7	10	3	3	-	1	3	-	1	-	3	1	-	11
ABC/Post	12/10	12/13/15	362RV	38	15	12	2	5	12	4	1	-	1	1	-	0	-	2	0	-	6
MonmouthUniversity	12/10	12/13/15	385RV	41	14	10	3	3	9	2	2	0	1	2	-	1	-	2	0	-	8
NBC/WSJ	12/6	12/9/15	400LV	27	22	15	2	7	11	3	5	-	-	3	-	-	-	2	-	-	3
Ipsos/Reuters	12/5	12/9/15	494A	37	11	12	2	5	13	4	2	0	2	2	-	1	-	1	1	-	6
YouGov/Economist	12/4	12/9/15	455LV	34	15	17	3	4	9	3	4	0	0	3	-	0	-	6	0	-	1
GravisMarketing/OneAmericaNews	12/7	12/8/15	691LV	42	16	11	3	6	9	4	3	-	1	2	-	-	-	2	1	-	-
CBS/Times	12/4	12/8/15	431LV	35	16	9	3	3	13	3	1	0	0	3	-	0	-	4	0	-	7
Zogby(Internet)	12/7	12/7/15	271LV	38	8	12	1	7	13	4	3	0	0	1	-	1	-	1	0	-	10
MorningConsult	12/3	12/7/15	865RV	41	7	10	2	5	12	3	2	-	1	3	-	1	-	2	0	-	9
PublicReligionResearchInstitute	12/2	12/6/15	376RV	24	10	12	2	10	16	3	2	-	-	1	-	-	-	4	-	-	14
Suffolk/USAToday	12/2	12/6/15	357LV	27	17	16	2	4	10	2	1	0	0	1	-	0	-	2	1	-	17
IBD/TIPP	11/30	12/4/15	354RV	27	13	14	2	3	15	2	3	-	0	2	-	0	-	2	0	-	14
Ipsos/Reuters	11/28	12/2/15	385A	36	10	7	2	11	17	2	2	0	0	2	-	0	-	4	1	-	5
CNN	11/27	12/1/15	445RV	36	16	12	2	3	14	4	3	0	0	2	0	0	-	1	0	-	6
Quinnipiac	11/23	11/30/15	672RV	27	16	17	2	5	16	2	3	0	0	1	-	0	-	2	0	-	9
Ipsos/Reuters	11/21	11/25/15	352A	37	11	10	3	6	9	4	3	3	0	3	-	2	-	2	0	-	6
GravisMarketing/OneAmericaNews	11/23	11/23/15	523LV	37	12	14	4	8	15	2	2	-	2	2	-	-	-	3	1	-	-
YouGov/Economist	11/19	11/23/15	600LV	36	12	14	4	6	10	3	4	0	1	2	-	0	-	4	0	-	3
ABC/Post	11/16	11/19/15	373RV	32	8	11	3	6	22	2	4	-	1	3	-	-	-	3	1	-	5
FOX	11/16	11/19/15	434LV	28	14	14	2	5	18	3	3	-	-	3	-	1	-	2	-	-	5
Ipsos/Reuters	11/14	11/18/15	1,299A	37	8	11	2	6	14	3	3	0	0	3	1	0	-	5	1	-	6
PPP(D)	11/16	11/17/15	607LV	26	14	13	3	5	19	3	4	0	1	4	0	1	-	2	0	-	2
Bloomberg/Selzer	11/15	11/17/15	379RV	24	9	12	3	6	20	4	3	-	1	3	-	1	-	3	1	-	12
NBC/SurveyMonkey	11/15	11/17/15	2,440RV	28	18	11	2	4	18	3	3	0	0	2	1	0	-	2	1	-	6
MorningConsult	11/13	11/16/15	774RV	38	7	7	1	6	19	2	3	-	1	3	0	0	-	2	0	-	9
Rasmussen	11/11	11/12/15	572LV	27	13	16	-	8	20	-	4	-	-	-	-	-	-	-	-	-	5
