Poll	Start	End	Sample	Type	Clinton	Sanders	Biden	Webb	O'Malley	Chafee	Spread
USA Today/SuffolkUSA Today	7/9	7/12	434	LV	59	14	8	2	0	0	Clinton +45
MonmouthMonmouth	7/9	7/12	357	RV	51	17	13	1	1	0	Clinton +34
CNN/ORCCNN/ORC	6/26	6/28	428	RV	58	15	17	1	1	0	Clinton +41
FOX NewsFOX News	6/21	6/23	375	RV	61	15	11	2	1	0	Clinton +46
NBC/WSJNBC/WSJ	6/14	6/18	247	RV	75	15	--	4	2	0	Clinton +60
MonmouthMonmouth	6/11	6/14	350	RV	57	12	12	2	1	0	Clinton +45
PPP (D)PPP (D)	6/11	6/14	471	RV	65	9	--	4	5	4	Clinton +56
FOX NewsFOX News	5/31	6/2	395	RV	57	11	8	2	4	1	Clinton +46
CNN/ORCCNN/ORC	5/29	5/31	433	A	60	10	14	2	1	0	Clinton +46
ABC/Wash PostABC/WP	5/28	5/31	376	RV	62	10	14	1	3	1	Clinton +48
QuinnipiacQuinnipiac	5/19	5/26	748	RV	57	15	9	1	1	1	Clinton +42
FOX NewsFOX News	5/9	5/12	370	LV	63	6	6	2	0	0	Clinton +50
PPP (D)PPP (D)	5/7	5/10	600	RV	63	13	--	6	2	5	Clinton +50
FOX NewsFOX News	4/19	4/21	388	LV	62	4	9	0	1	0	Clinton +50
QuinnipiacQuinnipiac	4/16	4/21	569	RV	60	8	10	1	3	0	Clinton +50
CNN/ORCCNN/ORC	4/16	4/19	458	A	69	5	11	3	1	1	Clinton +58
FOX NewsFOX News	3/29	3/31	397	LV	61	3	12	1	2	--	Clinton +49
PPP (D)PPP (D)	3/26	3/31	449	RV	54	6	7	2	3	--	Clinton +40
ABC/Wash PostABC/WP	3/26	3/29	NA	RV	66	5	12	1	0	--	Clinton +54
CNN/ORCCNN/ORC	3/13	3/15	466	A	62	3	15	1	1	--	Clinton +47
McClatchy/MaristMcClatchy	3/1	3/4	462	RV	60	5	13	1	1	--	Clinton +47
QuinnipiacQuinnipiac	2/26	3/2	493	RV	56	4	10	1	0	--	Clinton +42
PPP (D)PPP (D)	2/20	2/22	310	RV	54	5	16	2	1	--	Clinton +38
CNN/ORCCNN/ORC	2/12	2/15	NA	RV	60	3	15	2	1	--	Clinton +45
FOX NewsFOX News	1/25	1/27	390	RV	55	3	17	1	2	--	Clinton +38
PPP (D)PPP (D)	1/22	1/25	386	RV	60	2	15	1	1	--	Clinton +45
Rasmussen ReportsRasmussen	1/18	1/19	648	LV	59	4	6	3	2	--	Clinton +47
CNN/ORCCNN/ORC	12/18	12/21	469	A	66	3	8	1	1	--	Clinton +57
ABC/Wash PostABC/WP	12/11	12/14	346	RV	61	4	14	3	0	--	Clinton +47
FOX NewsFOX News	12/7	12/9	409	RV	62	3	10	1	1	--	Clinton +50
McClatchy/MaristMcClatchy	12/3	12/9	429	RV	62	4	11	1	1	--	Clinton +51
CNN/ORCCNN/ORC	11/21	11/23	457	A	65	5	9	1	0	--	Clinton +55
QuinnipiacQuinnipiac	11/18	11/23	610	RV	57	4	9	1	1	--	Clinton +44
Rasmussen ReportsRasmussen	11/20	11/21	NA	LV	62	--	7	2	2	--	Clinton +45
ABC/Wash PostABC/WP	10/9	10/12	NA	RV	64	1	13	2	1	--	Clinton +51
McClatchy/MaristMcClatchy	9/24	9/29	408	RV	64	4	15	1	2	--	Clinton +49
FOX NewsFOX News	7/20	7/22	438	RV	64	--	12	--	1	--	Clinton +52
CNN/ORCCNN/ORC	7/18	7/20	449	A	67	--	8	--	2	--	Clinton +57
QuinnipiacQuinnipiac	6/24	6/30	610	RV	58	--	9	--	1	--	Clinton +47
ABC/Wash PostABC/WP	5/29	6/1	NA	RV	69	2	12	1	2	--	Clinton +57
FOX NewsFOX News	4/13	4/15	395	RV	69	--	14	--	1	--	Clinton +55
Reason-Rupe/PSRAIReason/PSRAI	3/26	3/30	NA	A	64	--	11	--	--	--	Clinton +53
CNN/ORCCNN/ORC	3/7	3/9	372	A	64	--	13	--	4	--	Clinton +51
PPP (D)PPP (D)	3/6	3/9	429	RV	66	--	11	--	2	--	Clinton +55
PPP (D)PPP (D)	1/23	1/26	334	RV	67	--	7	--	1	--	Clinton +60
ABC/Wash PostABC/WP	1/20	1/23	NA	RV	73	--	11	--	--	--	Clinton +62
QuinnipiacQuinnipiac	1/15	1/19	803	RV	65	--	8	--	1	--	Clinton +57
FOX NewsFOX News	12/14	12/16	412	RV	68	--	12	--	1	--	Clinton +56
PPP (D)PPP (D)	12/12	12/15	453	RV	66	--	10	--	2	--	Clinton +56
QuinnipiacQuinnipiac	12/3	12/9	1095	RV	66	--	8	--	0	--	Clinton +58
McClatchy/MaristMcClatchy	12/3	12/5	466	RV	65	--	12	--	1	--	Clinton +53
CNN/ORCCNN/ORC	11/18	11/20	NA	RV	64	--	12	--	2	--	Clinton +52
Rasmussen ReportsRasmussen	11/7	11/8	NA	LV	70	--	10	--	0	--	Clinton +60
PPP (D)PPP (D)	10/29	10/31	400	RV	67	--	12	--	2	--	Clinton +55
QuinnipiacQuinnipiac	9/23	9/29	NA	RV	61	--	11	--	0	--	Clinton +50
CNN/ORCCNN/ORC	9/6	9/8	448	RV	65	--	10	--	2	--	Clinton +55
Rasmussen ReportsRasmussen	8/1	8/2	NA	LV	63	--	12	--	1	--	Clinton +51
PPP (D)PPP (D)	7/19	7/21	418	RV	52	--	12	--	1	--	Clinton +40
McClatchy/MaristMcClatchy	7/15	7/18	426	RV	63	--	13	--	1	--	Clinton +50
PPP (D)PPP (D)	5/6	5/9	589	RV	63	--	13	--	2	--	Clinton +50
QuinnipiacQuinnipiac	4/25	4/29	NA	RV	65	--	13	--	1	--	Clinton +52
PPP (D)PPP (D)	3/27	3/30	666	RV	64	--	18	--	1	--	Clinton +46
PPP (D)PPP (D)	1/31	2/3	416	RV	58	--	19	--	1	--	Clinton +39
PPP (D)PPP (D)	1/3	1/6	400	RV	57	--	16	--	3	--	Clinton +41
PPP (D)PPP (D)	11/30	12/2	454	RV	61	--	12	--	2	--	Clinton +49
