Pollster	Start	End	Pop.	Clinton	Sanders	O.Malley	Lessig	Biden	Chafee	Webb	Undecided
YouGov/Economist	8/14	8/18	676RV	47	26	1	-	14	1	1	7
MorningConsult	8/14	8/16	884RV	50	24	3	-	-	1	1	21
CNN	8/13	8/16	358RV	47	29	2	-	14	0	1	3
FOX	8/11	8/13	401LV	49	30	1	-	10	0	1	4
Ipsos/Reuters	8/8	8/12	520A	55	18	2	-	11	0	1	10
MorningConsult	8/7	8/9	896RV	56	19	4	-	-	1	2	12
Ipsos/Reuters	8/1	8/5	409A	52	17	1	-	14	1	0	11
Zogby(Internet)/UniversityofAkron	8/3	8/4	459LV	48	15	3	-	21	-	2	10
YouGov/Economist	7/31	8/4	635RV	51	21	1	-	13	1	2	10
MorningConsult	7/31	8/3	860RV	60	16	2	-	-	1	2	13
FOX	7/30	8/2	499LV	51	22	1	-	13	1	1	6
MonmouthUniversity	7/30	8/2	429RV	52	16	2	-	12	0	2	14
CBS	7/29	8/2	362LV	58	17	1	-	11	1	2	7
NBC/WSJ	7/26	7/30	252LV	59	25	3	-	-	1	3	8
GravisMarketing/OneAmericaNews	7/29	7/29	803LV	55	18	3	-	8	2	5	-
Ipsos/Reuters	7/25	7/29	505A	58	15	1	-	12	0	1	9
EmersonCollegePollingSociety	7/26	7/28	481LV	54	33	2	-	9	1	1	-
Quinnipiac	7/23	7/28	681RV	55	17	1	-	13	0	1	12
CNN	7/22	7/25	392LV	56	19	0	-	15	0	1	4
PPP(D)	7/20	7/21	496LV	57	22	2	-	-	3	5	12
YouGov/Economist	7/18	7/20	320RV	56	18	0	-	13	1	0	10
MorningConsult	7/17	7/20	882RV	52	16	0	-	11	-	0	9
ABC/Post	7/16	7/19	357RV	63	14	1	-	12	0	2	6
FOX	7/13	7/15	316LV	59	19	1	-	8	1	1	5
LincolnParkStrategies(D)	7/9	7/14	421LV	63	16	1	-	-	0	2	17
MonmouthUniversity	7/9	7/12	357RV	51	17	1	-	13	0	1	17
Suffolk/USAToday	7/9	7/12	434LV	59	14	0	-	8	0	2	16
YouGov/Economist	7/4	7/6	309RV	55	24	0	-	8	0	1	8
YouGov/Economist	6/27	6/29	348RV	59	19	2	-	9	0	1	9
CNN	6/26	6/28	490LV	58	15	1	-	17	0	1	5
FOX	6/21	6/23	375RV	61	15	1	-	11	0	2	5
YouGov/Economist	6/20	6/22	311RV	55	18	2	-	11	0	0	12
NBC/WSJ	6/14	6/18	247LV	75	15	2	-	-	0	4	3
YouGov/Economist	6/13	6/15	312RV	62	16	1	-	13	1	1	6
MonmouthUniversity	6/11	6/14	350RV	57	12	1	-	12	0	2	16
PPP(D)	6/11	6/14	471LV	65	9	5	-	-	4	4	12
