Poll	Start	End	Carson	Trump	Rubio	Cruz	Bush	Fiorina	Kasich	Paul	Huckabee	Christie	Santorum	Jindal	Graham	Pataki	Spread
CNN/ORCCNN/ORC	8/13	8/16	9	24	8	5	13	5	5	6	4	3	1	0	0	0	Trump +11
FOX NewsFOX News	8/11	8/13	12	25	4	10	9	5	4	3	6	3	1	1	0	1	Trump +13
RasmussenRasmussen	8/9	8/10	8	17	10	7	10	9	4	4	3	4	1	1	1	0	Trump +7
FOX NewsFOX News	7/30	8/2	7	26	5	6	15	2	3	5	6	3	2	1	0	0	Trump +11
MonmouthMonmouth	7/30	8/2	5	26	4	6	12	2	3	4	6	4	1	1	1	0	Trump +14
BloombergBloomberg	7/30	8/2	5	21	6	4	10	1	4	5	7	4	2	1	1	0	Trump +11
CBS NewsCBS News	7/29	8/2	6	24	6	6	13	0	1	4	8	3	1	2	0	1	Trump +11
NBC/WSJNBC/WSJ	7/26	7/30	10	19	5	9	14	0	3	6	6	3	1	1	0	0	Trump +4
QuinnipiacQuinnipiac	7/23	7/28	6	20	6	5	10	1	5	6	6	3	1	2	1	1	Trump +7
RasmussenRasmussen	7/26	7/27	5	26	5	7	10	1	5	3	7	2	2	2	1	1	Trump +12
CNN/ORCCNN/ORC	7/22	7/25	4	18	6	7	15	1	4	6	5	4	2	2	1	1	Trump +3
PPP (D)PPP (D)	7/20	7/21	10	19	10	4	12	4	3	4	8	3	1	1	0	0	Trump +2
ABC/Wash PostABC/WP	7/16	7/19	6	24	7	4	12	0	2	6	8	3	1	2	0	1	Trump +11
FOX NewsFOX News	7/13	7/15	6	18	7	4	14	1	2	8	4	3	2	0	0	0	Trump +3
USAT/SuffolkUSA Today	7/9	7/12	4	17	5	6	14	1	1	4	4	3	1	1	0	0	Trump +3
MonmouthMonmouth	7/9	7/12	6	13	6	9	15	1	1	6	7	2	2	2	0	0	Bush +2
CNN/ORCCNN/ORC	6/26	6/28	7	12	6	3	19	1	2	7	8	3	3	2	1	0	Bush +7
FOX NewsFOX News	6/21	6/23	10	11	8	4	15	3	2	9	6	2	3	2	1	1	Bush +4
NBC/WSJNBC/WSJ	6/14	6/18	11	1	14	4	22	2	1	7	9	4	0	0	1	0	Bush +5
MonmouthMonmouth	6/11	6/14	11	2	9	5	9	2	1	6	8	4	3	1	2	0	Carson +1
FOX NewsFOX News	5/31	6/2	11	4	7	8	12	2	2	9	6	5	2	1	2	2	Tie
CNN/ORCCNN/ORC	5/29	5/31	7	3	14	8	13	1	1	8	10	4	2	1	1	3	Rubio +1
ABC/Wash PostABC/WP	5/28	5/31	8	4	10	8	10	2	3	11	9	6	4	1	1	1	Tie
QuinnipiacQuinnipiac	5/19	5/26	10	5	10	6	10	2	2	7	10	4	0	1	1	0	Tie
FOX NewsFOX News	5/9	5/12	13	4	9	6	13	1	2	7	10	6	2	1	0	0	Tie
PPP (D)PPP (D)	5/7	5/10	12	--	13	10	11	--	--	9	12	5	--	--	--	--	Walker +5
NBC/WSJNBC/WSJ	4/26	4/30	7	--	18	11	23	1	--	11	5	5	--	--	--	--	Bush +5
FOX NewsFOX News	4/19	4/21	6	5	13	8	9	0	2	10	9	6	1	1	1	1	Rubio +1
QuinnipiacQuinnipiac	4/16	4/21	3	--	15	9	13	1	2	8	7	7	2	1	2	--	Rubio +2
CNN/ORCCNN/ORC	4/16	4/19	4	--	11	7	17	2	2	11	9	4	3	2	2	0	Bush +5
FOX NewsFOX News	3/29	3/31	11	3	8	10	12	1	1	9	10	4	2	2	0	1	Walker +3
ABC/Wash PostABC/WP	3/26	3/29	6	--	8	12	21	1	1	8	8	7	2	1	1	--	Bush +8
PPP (D)PPP (D)	3/26	3/31	10	--	6	16	17	--	--	10	6	4	--	--	--	--	Walker +3
CNN/ORCCNN/ORC	3/13	3/15	9	--	7	4	16	0	2	12	10	7	1	1	1	--	Bush +3
McClatchy/MaristMcClatchy	3/1	3/4	9	--	5	4	19	2	--	7	10	6	2	--	1	--	Bush +1
QuinnipiacQuinnipiac	2/26	3/2	7	--	5	6	16	--	1	6	8	8	2	2	1	--	Walker +2
PPP (D)PPP (D)	2/20	2/22	18	--	3	5	17	--	--	4	10	5	--	--	--	--	Walker +7
CNN/ORCCNN/ORC	2/12	2/15	9	--	6	3	12	1	2	11	17	7	2	1	1	--	Huckabee +5
FOX NewsFOX News	1/25	1/27	10	--	5	4	15	--	2	13	13	6	2	3	1	--	Bush +2
CNN/ORCCNN/ORC	12/18	12/21	7	--	5	4	23	--	3	6	6	13	2	4	--	--	Bush +10
ABC/Wash PostABC/WP	12/11	12/14	8	--	7	8	14	--	2	10	7	7	3	3	--	--	Bush +4
McClatchy/MaristMcClatchy	12/3	12/9	8	--	3	5	16	1	3	6	12	10	3	1	--	--	Bush +4
CNN/ORCCNN/ORC	11/21	11/23	11	--	3	7	14	--	3	8	10	9	2	1	--	--	Bush +3
QuinnipiacQuinnipiac	11/18	11/23	9	--	3	5	14	--	2	8	7	11	2	3	--	--	Bush +3
RasmussenRasmussen	11/20	11/21	--	--	--	--	18	--	--	13	--	15	--	--	--	--	Walker +2
ABC/Wash PostABC/WP	10/9	10/12	7	--	8	4	13	--	2	12	12	8	4	2	--	--	Bush +1
McClatchy/MaristMcClatchy	9/24	9/29	--	--	6	4	15	--	--	13	--	12	3	4	--	--	Bush +2
McClatchy/MaristMcClatchy	8/4	8/4	--	--	9	10	13	--	--	7	--	13	3	2	--	--	Tie
FOX NewsFOX News	7/20	7/22	--	--	9	9	12	--	2	11	--	10	3	4	--	--	Tie
CNN/ORCCNN/ORC	7/18	7/20	--	--	6	8	8	--	--	12	12	13	3	--	--	--	Christie +1
QuinnipiacQuinnipiac	6/24	6/30	--	--	6	8	10	--	2	11	10	10	2	1	--	--	Paul +1
CNN/ORCCNN/ORC	5/29	6/1	--	--	8	9	12	--	--	14	11	8	4	--	--	--	Paul +2
CNN/ORCCNN/ORC	5/2	5/4	--	--	6	7	13	--	--	13	10	9	2	--	--	--	Tie
ABC/Wash PostABC/WP	4/24	4/27	--	--	6	7	12	--	1	15	14	9	--	2	--	--	Paul +1
FOX NewsFOX News	4/13	4/15	--	--	8	7	14	--	--	14	--	15	5	2	--	--	Christie +1
McClatchy/MaristMcClatchy	4/7	4/10	--	--	7	4	13	--	0	12	13	12	3	4	--	--	Tie
Reason-RupeReason	3/26	3/30	--	--	6	6	11	--	--	11	15	10	--	1	--	--	Huckabee +4
WPA (R)WPA (R)	3/18	3/20	--	--	6	9	11	--	--	13	13	9	3	3	--	--	Tie
CNN/ORCCNN/ORC	3/7	3/9	--	--	5	8	9	--	--	16	10	8	3	--	--	--	Paul +5
PPP (D)PPP (D)	3/6	3/9	--	--	6	11	15	--	--	14	18	14	--	4	--	--	Huckabee +3
McClatchy/MaristMcClatchy	2/4	2/9	--	--	12	5	8	--	1	9	13	13	2	--	--	--	Tie
CNN/ORCCNN/ORC	1/31	2/2	--	--	10	10	9	--	--	14	16	12	5	--	--	--	Huckabee +2
PPP (D)PPP (D)	1/23	1/26	--	--	8	8	14	--	--	11	16	13	--	5	--	--	Huckabee +2
ABC/Wash PostABC/WP	1/20	1/23	--	--	10	12	18	--	--	11	--	14	--	--	--	--	Bush +4
QuinnipiacQuinnipiac	1/15	1/19	--	--	8	9	11	--	2	13	--	12	--	3	--	--	Paul +1
NBC/MaristNBC/Marist	1/12	1/14	--	--	7	5	8	--	--	9	--	16	5	3	--	--	Christie +7
FOX NewsFOX News	12/14	12/16	--	--	8	12	12	--	--	11	--	16	3	--	--	--	Christie +4
PPP (D)PPP (D)	12/12	12/15	--	--	7	14	10	--	--	11	13	19	--	3	--	--	Christie +5
QuinnipiacQuinnipiac	12/3	12/9	--	--	7	13	11	--	2	14	--	17	--	3	--	--	Christie +3
McClatchy/MaristMcClatchy	12/3	12/5	--	--	7	10	10	--	--	12	--	18	4	--	--	--	Christie +6
CNN/ORCCNN/ORC	11/18	11/20	--	--	10	11	5	--	--	15	--	24	6	--	--	--	Christie +9
RasmussenRasmussen	11/7	11/8	--	--	16	12	12	--	--	20	--	22	--	--	--	--	Christie +2
PPP (D)PPP (D)	10/29	10/31	--	--	10	15	14	--	--	16	--	16	5	6	--	--	Tie
QuinnipiacQuinnipiac	9/23	9/29	--	--	12	10	11	--	--	17	--	13	--	3	--	--	Paul +4
PPP (D)PPP (D)	9/25	9/26	--	--	10	20	11	--	--	17	--	14	3	4	--	--	Cruz +3
CNN/ORCCNN/ORC	9/6	9/8	--	--	9	7	10	--	--	13	--	17	5	--	--	--	Christie +4
RasmussenRasmussen	8/1	8/2	--	--	18	--	16	--	--	15	--	21	--	--	--	--	Christie +3
PPP (D)PPP (D)	7/19	7/21	--	--	10	12	13	--	--	16	--	13	4	4	--	--	Paul +3
McClatchy/MaristMcClatchy	7/15	7/18	--	--	12	7	10	--	--	9	--	15	2	1	--	--	Christie +3
PPP (D)PPP (D)	5/6	5/9	--	--	16	7	15	--	--	14	--	15	5	3	--	--	Rubio +1
QuinnipiacQuinnipiac	3/26	4/1	--	--	19	--	10	--	--	15	--	14	--	3	--	--	Rubio +4
PPP (D)PPP (D)	3/27	3/30	--	--	21	--	12	--	--	17	--	15	5	4	--	--	Rubio +4
PPP (D)PPP (D)	1/31	2/3	--	--	22	--	13	--	--	10	11	13	--	4	--	--	Rubio +9
PPP (D)PPP (D)	1/3	1/6	--	--	21	--	14	--	--	5	15	14	--	3	--	--	Rubio +6
PPP (D)PPP (D)	11/30	12/2	--	--	18	--	12	--	--	7	11	14	4	--	--	--	Rubio +4
